cik,name,sic4,sic1,sic2,sic3,countryba,bas1
"899715_TANGER FACTORY OUTLET CENTERS, INC","TANGER FACTORY OUTLET CENTERS, INC",6798,60,67,679,US,3200 NORTHLINE AVENUE SUITE 360
899751_TITAN INTERNATIONAL INC,TITAN INTERNATIONAL INC,3312,20,33,331,US,2701 SPRUCE ST
899923_MYRIAD GENETICS INC,MYRIAD GENETICS INC,2835,20,28,283,US,320 WAKARA WAY
900075_COPART INC,COPART INC,5500,52,55,550,US,14185 DALLAS PARKWAY
906163_NVR INC,NVR INC,1531,15,15,153,US,11700 PLAZA AMERICA DR.
906345_CAMDEN PROPERTY TRUST,CAMDEN PROPERTY TRUST,6798,60,67,679,US,11 GREENWAY PLAZA
906709_NEKTAR THERAPEUTICS,NEKTAR THERAPEUTICS,2834,20,28,283,US,455 MISSION BAY BOULEVARD SOUTH
"907254_SAUL CENTERS, INC.","SAUL CENTERS, INC.",6798,60,67,679,US,7501 WISCONSIN AVENUE
"907471_PATHWARD FINANCIAL, INC.","PATHWARD FINANCIAL, INC.",6021,60,60,602,US,5501 SOUTH BROADBAND LANE
908255_BORGWARNER INC,BORGWARNER INC,3714,20,37,371,US,3850 HAMLIN RD.
908311_CREATIVE MEDIA & COMMUNITY TRUST CORP,CREATIVE MEDIA & COMMUNITY TRUST CORP,6798,60,67,679,US,17950 PRESTON RD
908315_WINMARK CORP,WINMARK CORP,5900,52,59,590,US,605 HIGHWAY 169 N SUITE 400
908937_SIRIUS XM HOLDINGS INC.,SIRIUS XM HOLDINGS INC.,4832,40,48,483,US,1290 AVENUE OF THE AMERICAS
909108_DIAMOND HILL INVESTMENT GROUP INC,DIAMOND HILL INVESTMENT GROUP INC,6282,60,62,628,US,325 JOHN H MCCONNELL BLVD
909832_COSTCO WHOLESALE CORP /NEW,COSTCO WHOLESALE CORP /NEW,5331,52,53,533,US,999 LAKE DRIVE
910073_NEW YORK COMMUNITY BANCORP INC,NEW YORK COMMUNITY BANCORP INC,6036,60,60,603,US,102 DUFFY AVENUE
910406_HAIN CELESTIAL GROUP INC,HAIN CELESTIAL GROUP INC,2000,20,20,200,US,1111 MARCUS AVENUE
910521_DECKERS OUTDOOR CORP,DECKERS OUTDOOR CORP,3021,20,30,302,US,250 COROMAR DRIVE
910638_3D SYSTEMS CORP,3D SYSTEMS CORP,7372,70,73,737,US,333 THREE D SYSTEMS CIRCLE
911147_CENTURY CASINOS INC /CO/,CENTURY CASINOS INC /CO/,7011,70,70,701,US,455 E. PIKES PEAK AVE
911177_CASELLA WASTE SYSTEMS INC,CASELLA WASTE SYSTEMS INC,4953,40,49,495,US,25 GREENS HILL ROAD
911421_PARTNERRE LTD,PARTNERRE LTD,6321,60,63,632,BM,WELLESLEY HOUSE SOUTH
912093_VIAVI SOLUTIONS INC.,VIAVI SOLUTIONS INC.,3674,20,36,367,US,1445 SOUTH SPECTRUM BLVD.
912242_MACERICH CO,MACERICH CO,6798,60,67,679,US,401 WILSHIRE BLVD
912463_GUESS INC,GUESS INC,2340,20,23,234,US,ATTN:  JASON MILLER
"912562_GIBRALTAR INDUSTRIES, INC.","GIBRALTAR INDUSTRIES, INC.",3310,20,33,331,US,3556 LAKE SHORE ROAD
912593_SUN COMMUNITIES INC,SUN COMMUNITIES INC,6798,60,67,679,US,27777 FRANKLIN ROAD
912752_SINCLAIR BROADCAST GROUP INC,SINCLAIR BROADCAST GROUP INC,4833,40,48,483,US,10706 BEAVER DAM ROAD
913142_BELDEN INC.,BELDEN INC.,3357,20,33,335,US,1 NORTH BRENTWOOD BLVD
913144_RENAISSANCERE HOLDINGS LTD,RENAISSANCERE HOLDINGS LTD,6331,60,63,633,BM,RENAISSANCE HOUSE
913341_C & F FINANCIAL CORP,C & F FINANCIAL CORP,6022,60,60,602,US,EIGHTH & MAIN STREETS
913760_STONEX GROUP INC.,STONEX GROUP INC.,6200,60,62,620,US,230 PARK AVE
914208_INVESCO LTD.,INVESCO LTD.,6282,60,62,628,US,1555 PEACHTREE STREET NE
914475_NEUROCRINE BIOSCIENCES INC,NEUROCRINE BIOSCIENCES INC,2836,20,28,283,US,12780 EL CAMINO REAL
914748_EVEREST REINSURANCE HOLDINGS INC,EVEREST REINSURANCE HOLDINGS INC,6331,60,63,633,US,100 EVEREST WAY
915358_SIGMATRON INTERNATIONAL INC,SIGMATRON INTERNATIONAL INC,3672,20,36,367,US,2201 LANDMEIER RD
915389_EASTMAN CHEMICAL CO,EASTMAN CHEMICAL CO,2821,20,28,282,US,PO BOX 511
915779_DAKTRONICS INC /SD/,DAKTRONICS INC /SD/,3990,20,39,399,US,PO BOX 5128
915840_BEAZER HOMES USA INC,BEAZER HOMES USA INC,1531,15,15,153,US,1000 ABERNATHY ROAD
915912_AVALONBAY COMMUNITIES INC,AVALONBAY COMMUNITIES INC,6798,60,67,679,US,4040 WILSON BOULEVARD
915913_ALBEMARLE CORP,ALBEMARLE CORP,2821,20,28,282,US,4250 CONGRESS STREET
916365_TRACTOR SUPPLY CO /DE/,TRACTOR SUPPLY CO /DE/,5200,52,52,520,US,5401 VIRGINIA WAY
916540_DARLING INGREDIENTS INC.,DARLING INGREDIENTS INC.,2070,20,20,207,US,5601 N MACARTHUR BLVD
916789_HELEN OF TROY LTD,HELEN OF TROY LTD,3634,20,36,363,BM,CLARENDON HOUSE
917273_RAMBUS INC,RAMBUS INC,3674,20,36,367,US,"4453 NORTH FIRST STREET, SUITE 100"
917491_FARO TECHNOLOGIES INC,FARO TECHNOLOGIES INC,3829,20,38,382,US,125 TECHNOLOGY PARK
917520_INTEGRA LIFESCIENCES HOLDINGS CORP,INTEGRA LIFESCIENCES HOLDINGS CORP,3841,20,38,384,US,1100 CAMPUS ROAD
918541_NN INC,NN INC,3540,20,35,354,US,6210 ARDREY KELL ROAD
"918965_SCANSOURCE, INC.","SCANSOURCE, INC.",5045,50,50,504,US,6 LOGUE COURT
920112_HEARTLAND FINANCIAL USA INC,HEARTLAND FINANCIAL USA INC,6022,60,60,602,US,1800 LARIMER STREET
920148_LABORATORY CORP OF AMERICA HOLDINGS,LABORATORY CORP OF AMERICA HOLDINGS,8071,70,80,807,US,358 S MAIN ST
"920371_SIMPSON MANUFACTURING CO., INC.","SIMPSON MANUFACTURING CO., INC.",3420,20,34,342,US,5956 W LAS POSITAS BLVD
920427_UNITY BANCORP INC /NJ/,UNITY BANCORP INC /NJ/,6022,60,60,602,US,64 OLD HIGHWAY 22
"920522_ESSEX PROPERTY TRUST, INC.","ESSEX PROPERTY TRUST, INC.",6798,60,67,679,US,1100 PARK PLACE
"921082_HIGHWOODS PROPERTIES, INC.","HIGHWOODS PROPERTIES, INC.",6798,60,67,679,US,150 FAYETTEVILLE STREET
921638_SSR MINING INC.,SSR MINING INC.,6795,60,67,679,US,"6900 E LAYTON AVE, SUITE 1300"
"921738_PENN ENTERTAINMENT, INC.","PENN ENTERTAINMENT, INC.",7011,70,70,701,US,825 BERKSHIRE BLVD STE 200
921825_FIRST INDUSTRIAL REALTY TRUST INC,FIRST INDUSTRIAL REALTY TRUST INC,6798,60,67,679,US,1 NORTH WACKER DRIVE
922224_PPL CORP,PPL CORP,4911,40,49,491,US,TWO N NINTH ST
922621_ERIE INDEMNITY CO,ERIE INDEMNITY CO,6411,60,64,641,US,100 ERIE INSURANCE PL
"924168_ENERGY FOCUS, INC/DE","ENERGY FOCUS, INC/DE",3640,20,36,364,US,32000 AURORA ROAD
924805_FREEDOM HOLDING CORP.,FREEDOM HOLDING CORP.,6211,60,62,621,US,C/O POULTON & YORDAN
"924901_VERIS RESIDENTIAL, INC.","VERIS RESIDENTIAL, INC.",6798,60,67,679,US,HARBORSIDE 3
"926326_OMNICELL, INC.","OMNICELL, INC.",3571,20,35,357,US,"2625 AUGUSTINE DRIVE, SUITE 301"
926617_ASPIRA WOMEN'S HEALTH INC.,ASPIRA WOMEN'S HEALTH INC.,2835,20,28,283,US,12117 BEE CAVES ROAD BUILDING THREE
927066_DAVITA INC.,DAVITA INC.,8090,70,80,809,US,2000 16TH STREET
1391933_QUAINT OAK BANCORP INC,QUAINT OAK BANCORP INC,6036,60,60,603,US,501 KNOWLES AVENUE
927628_CAPITAL ONE FINANCIAL CORP,CAPITAL ONE FINANCIAL CORP,6021,60,60,602,US,1680 CAPITAL ONE DRIVE
927653_MCKESSON CORP,MCKESSON CORP,5122,50,51,512,US,6555 STATE HIGHWAY 161
928022_CALLON PETROLEUM CO,CALLON PETROLEUM CO,1311,10,13,131,US,2000 W SAM HOUSTON PARKWAY S
928054_FLOTEK INDUSTRIES INC/CN/,FLOTEK INDUSTRIES INC/CN/,2890,20,28,289,US,8846 N. SAM HOUSTON PARKWAY W.
929008_WESCO INTERNATIONAL INC,WESCO INTERNATIONAL INC,5063,50,50,506,US,225 WEST STATION SQUARE DRIVE
929351_LIONS GATE ENTERTAINMENT CORP /CN/,LIONS GATE ENTERTAINMENT CORP /CN/,7812,70,78,781,US,2700 COLORADO AVENUE
930236_REDWOOD TRUST INC,REDWOOD TRUST INC,6798,60,67,679,US,ONE BELVEDERE PLACE
1767057_OSPREY BITCOIN TRUST,OSPREY BITCOIN TRUST,6221,60,62,622,US,1241 POST ROAD
744187_REX AMERICAN RESOURCES CORP,REX AMERICAN RESOURCES CORP,2860,20,28,286,US,7720 PARAGON ROAD
930420_KFORCE INC,KFORCE INC,7363,70,73,736,US,1150 ASSEMBLY DRIVE
931148_GRAFTECH INTERNATIONAL LTD,GRAFTECH INTERNATIONAL LTD,3620,20,36,362,US,982 KEYNOTE CIRCLE
"933036_UPBOUND GROUP, INC.","UPBOUND GROUP, INC.",7359,70,73,735,US,5501 HEADQUARTERS DRIVE
933136_MR. COOPER GROUP INC.,MR. COOPER GROUP INC.,6199,60,61,619,US,8950 CYPRESS WATERS BLVD.
934549_ACACIA RESEARCH CORP,ACACIA RESEARCH CORP,6794,60,67,679,US,"767 3RD AVENUE, 6TH FLOOR"
"934612_BURLINGTON NORTHERN SANTA FE, LLC","BURLINGTON NORTHERN SANTA FE, LLC",4011,40,40,401,US,2650 LOU MENK DR
"935036_ACI WORLDWIDE, INC.","ACI WORLDWIDE, INC.",7372,70,73,737,US,2811 PONCE DE LEON BLVD PH1
935494_NATIONAL INSTRUMENTS CORP,NATIONAL INSTRUMENTS CORP,7372,70,73,737,US,11500 NORTH MOPAC EXPRESSWAY
"935703_DOLLAR TREE, INC.","DOLLAR TREE, INC.",5331,52,53,533,US,500 VOLVO PARKWAY
936340_DTE ENERGY CO,DTE ENERGY CO,4911,40,49,491,US,ONE ENERGY PLAZA
936395_CIENA CORP,CIENA CORP,3661,20,36,366,US,7035 RIDGE ROAD
936468_LOCKHEED MARTIN CORP,LOCKHEED MARTIN CORP,3760,20,37,376,US,6801 ROCKLEDGE DR
936528_WASHINGTON FEDERAL INC,WASHINGTON FEDERAL INC,6021,60,60,602,US,425 PIKE STREET
936528_WAFD INC,WAFD INC,6021,60,60,602,US,425 PIKE STREET
"937098_TRINET GROUP, INC.","TRINET GROUP, INC.",7389,70,73,738,US,"ONE PARK PLACE., SUITE 600"
937556_MASIMO CORP,MASIMO CORP,3845,20,38,384,US,52 DISCOVERY
937834_METROPOLITAN LIFE INSURANCE CO,METROPOLITAN LIFE INSURANCE CO,6311,60,63,631,US,200 PARK AVENUE
1110795_METLIFE POLICYHOLDER TRUST,METLIFE POLICYHOLDER TRUST,6311,60,63,631,US,C/O WILMINGTON TRUST CO
1041368_RIVERVIEW BANCORP INC,RIVERVIEW BANCORP INC,6035,60,60,603,US,900 WASHINGTON STREET
1010470_PROVIDENT FINANCIAL HOLDINGS INC,PROVIDENT FINANCIAL HOLDINGS INC,6035,60,60,603,US,3756 CENTRAL AVE
1046050_TIMBERLAND BANCORP INC,TIMBERLAND BANCORP INC,6036,60,60,603,US,624 SIMPSON AVE
"1401564_FIRST FINANCIAL NORTHWEST, INC.","FIRST FINANCIAL NORTHWEST, INC.",6022,60,60,602,US,201 WELLS AVENUE SOUTH
818677_SECURITY FEDERAL CORP,SECURITY FEDERAL CORP,6022,60,60,602,US,238 RICHLAND AVENUE NW
"939767_EXELIXIS, INC.","EXELIXIS, INC.",2836,20,28,283,US,1851 HARBOR BAY PARKWAY
"939930_PYXUS INTERNATIONAL, INC.","PYXUS INTERNATIONAL, INC.",5150,50,51,515,US,8001 AERIAL CENTER PARKWAY
940944_DARDEN RESTAURANTS INC,DARDEN RESTAURANTS INC,5812,52,58,581,US,1000 DARDEN CENTER DRIVE
943819_RESMED INC,RESMED INC,3841,20,38,384,US,9001 SPECTRUM CENTER BLVD.
"944075_SOCKET MOBILE, INC.","SOCKET MOBILE, INC.",3571,20,35,357,US,40675 ENCYCLOPEDIA CIRCLE
"944130_MINISTRY PARTNERS INVESTMENT COMPANY, LLC","MINISTRY PARTNERS INVESTMENT COMPANY, LLC",6199,60,61,619,US,915 WEST IMPERIAL HIGHWAY
"944809_OPKO HEALTH, INC.","OPKO HEALTH, INC.",2834,20,28,283,US,4400 BISCAYNE BLVD.
945114_GLOBAL INDUSTRIAL CO,GLOBAL INDUSTRIAL CO,5084,50,50,508,US,11 HARBOR PARK DRIVE
945394_SERVICE PROPERTIES TRUST,SERVICE PROPERTIES TRUST,6798,60,67,679,US,C/O THE RMR GROUP
945764_DENBURY INC,DENBURY INC,1311,10,13,131,US,5851 LEGACY CIRCLE
945841_POOL CORP,POOL CORP,5090,50,50,509,US,109 NORTHPARK BLVD
946673_BANNER CORP,BANNER CORP,6022,60,60,602,US,10 S FIRST AVENUE
947484_ARCH CAPITAL GROUP LTD.,ARCH CAPITAL GROUP LTD.,6331,60,63,633,BM,"WATERLOO HOUSE, GROUND FLOOR"
947559_FIRST BANCSHARES INC /MS/,FIRST BANCSHARES INC /MS/,6021,60,60,602,US,6480 US HIGHWAY 98 WEST
"948708_SMITH MICRO SOFTWARE, INC.","SMITH MICRO SOFTWARE, INC.",7372,70,73,737,US,5800 CORPORATE DRIVE
949157_CENTURY ALUMINUM CO,CENTURY ALUMINUM CO,3334,20,33,333,US,1 SOUTH WACKER DRIVE
857005_PTC INC.,PTC INC.,7372,70,73,737,US,121 SEAPORT BOULEVARD
1386716_STAR BULK CARRIERS CORP.,STAR BULK CARRIERS CORP.,4412,40,44,441,GR,C/O STAR BULK MANAGEMENT INC.
"355948_RICHARDSON ELECTRONICS, LTD.","RICHARDSON ELECTRONICS, LTD.",5065,50,50,506,US,40W267 KESLINGER RD
"912603_SCHNITZER STEEL INDUSTRIES, INC.","SCHNITZER STEEL INDUSTRIES, INC.",5090,50,50,509,US,299 SW CLAY ST.
110621_RPM INTERNATIONAL INC/DE/,RPM INTERNATIONAL INC/DE/,2851,20,28,285,US,2628 PEARL RD
836157_LINDSAY CORP,LINDSAY CORP,3523,20,35,352,US,18135 BURKE STREET
"1772177_KURA SUSHI USA, INC.","KURA SUSHI USA, INC.",5812,52,58,581,US,17461 DERIAN AVE.
717954_UNIFIRST CORP,UNIFIRST CORP,7200,70,72,720,US,68 JONSPIN RD
1333822_SEMILEDS CORP,SEMILEDS CORP,3674,20,36,367,TW,"3F, NO. 11 KE JUNG RD., CHU-NAN SITE"
923120_GREENBRIER COMPANIES INC,GREENBRIER COMPANIES INC,3743,20,37,374,US,ONE CENTERPOINTE DR
108516_WORTHINGTON INDUSTRIES INC,WORTHINGTON INDUSTRIES INC,3310,20,33,331,US,200 OLD WILSON BRIDGE ROAD
"1800347_E2OPEN PARENT HOLDINGS, INC.","E2OPEN PARENT HOLDINGS, INC.",7374,70,73,737,US,"9600 GREAT HILLS TRAIL, SUITE 300E"
"1160951_DUCK CREEK TECHNOLOGIES, INC.","DUCK CREEK TECHNOLOGIES, INC.",7372,70,73,737,US,"22 BOSTON WHARF ROAD, FLOOR 10"
807707_VOXX INTERNATIONAL CORP,VOXX INTERNATIONAL CORP,5065,50,50,506,US,180 MARCUS BLVD
"33002_ENNIS, INC.","ENNIS, INC.",2761,20,27,276,US,2441 PRESIDENTIAL PARKWAY
"1722608_IQIYI, INC.","IQIYI, INC.",7841,70,78,784,CN,"3/F, IQIYI YOUTH CENTER YOOLEE PLAZA"
1769256_FLJ GROUP LTD,FLJ GROUP LTD,6510,60,65,651,CN,"ROOM 1607, BUILDING A"
"708818_NEXTGEN HEALTHCARE, INC.","NEXTGEN HEALTHCARE, INC.",7373,70,73,737,US,18111 VON KARMAN AVENUE
78749_AGILYSYS INC,AGILYSYS INC,7373,70,73,737,US,1000 WINDWARD CONCOURSE
918646_EAGLE MATERIALS INC,EAGLE MATERIALS INC,3241,20,32,324,US,5960 BERKSHIRE LANE
"728447_EVO TRANSPORTATION & ENERGY SERVICES, INC.","EVO TRANSPORTATION & ENERGY SERVICES, INC.",5500,52,55,550,US,2075 WEST PINNACLE PEAK RD. SUITE 130
"1318605_TESLA, INC.","TESLA, INC.",3711,20,37,371,US,3500 DEER CREEK RD
1057060_MARINEMAX INC,MARINEMAX INC,5531,52,55,553,US,2600 MCCORMICK DRIVE
1674862_ASHLAND INC.,ASHLAND INC.,5160,50,51,516,US,8145 BLAZER DRIVE
"1002590_STAR GROUP, L.P.","STAR GROUP, L.P.",5990,52,59,599,US,9 WEST BROAD STREET
1021162_TRIUMPH GROUP INC,TRIUMPH GROUP INC,3720,20,37,372,US,899 CASSATT ROAD
1005210_SUBURBAN PROPANE PARTNERS LP,SUBURBAN PROPANE PARTNERS LP,5900,52,59,590,US,P O BOX 206
1235468_LIQUIDITY SERVICES INC,LIQUIDITY SERVICES INC,7389,70,73,738,US,6931 ARLINGTON ROAD
1138723_ACCURAY INC,ACCURAY INC,3841,20,38,384,US,1310 CHESAPEAKE TERRACE
874866_CORVEL CORP,CORVEL CORP,6411,60,64,641,US,2010 MAIN STREE
817720_SYNAPTICS INC,SYNAPTICS INC,3674,20,36,367,US,1109 MCKAY DRIVE
"1821806_LESLIE'S, INC.","LESLIE'S, INC.",5990,52,59,599,US,2005 E. INDIAN SCHOOL ROAD
1732845_WESTROCK CO,WESTROCK CO,2650,20,26,265,US,1000 ABERNATHY ROAD NE
"108312_WOODWARD, INC.","WOODWARD, INC.",3620,20,36,362,US,1081 WOODWARD WAY
"1878313_MAIA BIOTECHNOLOGY, INC.","MAIA BIOTECHNOLOGY, INC.",2834,20,28,283,US,"444 WEST LAKE STREET, SUITE 1700"
716314_GRAHAM CORP,GRAHAM CORP,3560,20,35,356,US,20 FLORENCE AVE
1056696_MANHATTAN ASSOCIATES INC,MANHATTAN ASSOCIATES INC,7372,70,73,737,US,2300 WINDY RIDGE PARKWAY TENTH FLOOR
924717_SURMODICS INC,SURMODICS INC,3841,20,38,384,US,9924 W 74TH ST
90896_SKYLINE CHAMPION CORP,SKYLINE CHAMPION CORP,2451,20,24,245,US,755 W BIG BEAVER ROAD
"1591588_A-MARK PRECIOUS METALS, INC.","A-MARK PRECIOUS METALS, INC.",5094,50,50,509,US,2121 ROSECRANS AVENUE
100726_UNIFI INC,UNIFI INC,2200,20,22,220,US,7201 WEST FRIENDLY RD
"1638290_MASTERCRAFT BOAT HOLDINGS, INC.","MASTERCRAFT BOAT HOLDINGS, INC.",3730,20,37,373,US,100 CHEROKEE COVE DRIVE
717605_HEXCEL CORP /DE/,HEXCEL CORP /DE/,2821,20,28,282,US,TWO STAMFORD PLAZA
1768267_CERENCE INC.,CERENCE INC.,7372,70,73,737,US,15 WAYSIDE ROAD
1177648_ENANTA PHARMACEUTICALS INC,ENANTA PHARMACEUTICALS INC,2834,20,28,283,US,500 ARSENAL STREET
"1565687_INTAPP, INC.","INTAPP, INC.",7372,70,73,737,US,3101 PARK BOULEVARD
1804591_23ANDME HOLDING CO.,23ANDME HOLDING CO.,2834,20,28,283,US,349 OYSTER POINT BOULEVARD
1732409_GRAYSCALE BITCOIN CASH TRUST (BCH),GRAYSCALE BITCOIN CASH TRUST (BCH),6221,60,62,622,US,290 HARBOR DRIVE
1761325_GRAYSCALE STELLAR LUMENS TRUST (XLM),GRAYSCALE STELLAR LUMENS TRUST (XLM),6221,60,62,622,US,290 HARBOR DRIVE
1729997_GRAYSCALE DIGITAL LARGE CAP FUND LLC,GRAYSCALE DIGITAL LARGE CAP FUND LLC,6221,60,62,622,US,290 HARBOR DRIVE
1748945_GRAYSCALE HORIZEN TRUST (ZEN),GRAYSCALE HORIZEN TRUST (ZEN),6199,60,61,619,US,290 HARBOR DRIVE
1732406_GRAYSCALE LITECOIN TRUST (LTC),GRAYSCALE LITECOIN TRUST (LTC),6221,60,62,622,US,290 HARBOR DRIVE
720500_AMTECH SYSTEMS INC,AMTECH SYSTEMS INC,3559,20,35,355,US,131 SOUTH CLARK DRIVE
315131_PHX MINERALS INC.,PHX MINERALS INC.,1311,10,13,131,US,1320 SOUTH UNIVERSITY DRIVE
"1879103_CFSB BANCORP, INC. /MA/","CFSB BANCORP, INC. /MA/",6035,60,60,603,US,15 BEACH STREET
1618673_PERFORMANCE FOOD GROUP CO,PERFORMANCE FOOD GROUP CO,5141,50,51,514,US,12500 WEST CREEK PARKWAY
"1604464_ATARA BIOTHERAPEUTICS, INC.","ATARA BIOTHERAPEUTICS, INC.",2836,20,28,283,US,2380 CONEJO SPECTRUM ST
1865975_AFTERNEXT HEALTHTECH ACQUISITION CORP.,AFTERNEXT HEALTHTECH ACQUISITION CORP.,6770,60,67,677,US,301 COMMERCE STREET
1314727_SONOS INC,SONOS INC,3651,20,36,365,US,614 CHAPALA STREET
797721_VIASAT INC,VIASAT INC,3663,20,36,366,US,6155 EL CAMINO REAL
933034_STRATTEC SECURITY CORP,STRATTEC SECURITY CORP,3714,20,37,371,US,3333 WEST GOOD HOPE ROAD
"751364_NATIONAL RETAIL PROPERTIES, INC.","NATIONAL RETAIL PROPERTIES, INC.",6798,60,67,679,US,450 S ORANGE AVE
1001115_GEOSPACE TECHNOLOGIES CORP,GEOSPACE TECHNOLOGIES CORP,3829,20,38,382,US,7007 PINEMONT DR.
834071_TOYOTA MOTOR CREDIT CORP,TOYOTA MOTOR CREDIT CORP,6141,60,61,614,US,"6565 HEADQUARTERS DRIVE, W2-3D"
"1262104_MEI PHARMA, INC.","MEI PHARMA, INC.",2834,20,28,283,US,11455 EL CAMINO REAL
"1497253_ORGANOVO HOLDINGS, INC.","ORGANOVO HOLDINGS, INC.",2836,20,28,283,US,11555 SORRENTO VALLEY ROAD
1800667_JFROG LTD,JFROG LTD,7372,70,73,737,US,270 E CARIBBEAN DRIVE
716006_YELLOW CORP,YELLOW CORP,4213,40,42,421,US,10990 ROE AVENUE
16040_CABOT CORP,CABOT CORP,2890,20,28,289,US,TWO SEAPORT LANE SUITE 1400
1045742_LIVE VENTURES INC,LIVE VENTURES INC,5900,52,59,590,US,325 EAST WARM SPRINGS ROAD
810332_MESA AIR GROUP INC,MESA AIR GROUP INC,4512,40,45,451,US,410 NORTH 44TH STREET
"1409375_ORION ENERGY SYSTEMS, INC.","ORION ENERGY SYSTEMS, INC.",3640,20,36,364,US,2210 WOODLAND DRIVE
"827876_CLEANSPARK, INC.","CLEANSPARK, INC.",6199,60,61,619,US,2370 CORPORATE CIRCLE
1840859_TPG PACE BENEFICIAL II CORP.,TPG PACE BENEFICIAL II CORP.,6770,60,67,677,US,C/O TPG PACE HOLDINGS
1596946_QUOTIENT LTD,QUOTIENT LTD,2835,20,28,283,JE,28 ESPLANADE
"1888654_5E ADVANCED MATERIALS, INC.","5E ADVANCED MATERIALS, INC.",1400,10,14,140,US,9329 MARIPOSA
1000229_CORE LABORATORIES N V,CORE LABORATORIES N V,1389,10,13,138,NL,VAN HEUVEN GOEDHARTLAAN 7 B
354190_ARTHUR J. GALLAGHER & CO.,ARTHUR J. GALLAGHER & CO.,6411,60,64,641,US,2850 GOLF ROAD
1627223_CHEMOURS CO,CHEMOURS CO,2800,20,28,280,US,1007 MARKET STREET
1629210_PARAMOUNT GOLD NEVADA CORP.,PARAMOUNT GOLD NEVADA CORP.,1000,10,10,100,US,665 ANDERSON STREET
29002_DIODES INC /DEL/,DIODES INC /DEL/,3674,20,36,367,US,4949 HEDGCOXE ROAD
42582_GOODYEAR TIRE & RUBBER CO /OH/,GOODYEAR TIRE & RUBBER CO /OH/,3011,20,30,301,US,1144 E MARKET ST
1114995_IMPINJ INC,IMPINJ INC,3679,20,36,367,US,400 FAIRVIEW AVENUE NORTH
889900_PATTERSON UTI ENERGY INC,PATTERSON UTI ENERGY INC,1381,10,13,138,US,10713 WEST SAM HOUSTON PARKWAY NORTH
"1831096_GREAT ELM GROUP, INC.","GREAT ELM GROUP, INC.",7372,70,73,737,US,"800 SOUTH STREET, SUITE 230"
"1484612_OUTSET MEDICAL, INC.","OUTSET MEDICAL, INC.",3845,20,38,384,US,3052 ORCHARD DRIVE
1444192_ACASTI PHARMA INC.,ACASTI PHARMA INC.,2834,20,28,283,CA,"3009, BOUL. DE LA CONCORDE EAST"
755001_UNITIL CORP,UNITIL CORP,4931,40,49,493,US,6 LIBERTY LANE WEST
1000045_NICHOLAS FINANCIAL INC,NICHOLAS FINANCIAL INC,6153,60,61,615,US,2454 MCMULLEN BOOTH RD
96793_SUNLINK HEALTH SYSTEMS INC,SUNLINK HEALTH SYSTEMS INC,8062,70,80,806,US,900 CIRCLE 75 PARKWAY
1130464_BLACK HILLS CORP /SD/,BLACK HILLS CORP /SD/,4911,40,49,491,US,7001 MT RUSHMORE RD
1021860_NOV INC.,NOV INC.,3533,20,35,353,US,10353 RICHMOND AVE.
912595_MID AMERICA APARTMENT COMMUNITIES INC.,MID AMERICA APARTMENT COMMUNITIES INC.,6798,60,67,679,US,6815 POPLAR AVENUE
1180262_HERBALIFE NUTRITION LTD.,HERBALIFE NUTRITION LTD.,5122,50,51,512,KY,P.O. BOX 309GT
1413159_TEXTAINER GROUP HOLDINGS LTD,TEXTAINER GROUP HOLDINGS LTD,7359,70,73,735,BM,CENTURY HOUSE
1173204_CINEDIGM CORP.,CINEDIGM CORP.,7841,70,78,784,US,244 FIFTH AVENUE
1478320_ADAPTIVE BIOTECHNOLOGIES CORP,ADAPTIVE BIOTECHNOLOGIES CORP,2836,20,28,283,US,1165 EASTLAKE AVE E
"1498382_KINTARA THERAPEUTICS, INC.","KINTARA THERAPEUTICS, INC.",2834,20,28,283,US,"9920 PACIFIC HEIGHTS BLVD, SUITE 150"
1472787_FIRST AMERICAN FINANCIAL CORP,FIRST AMERICAN FINANCIAL CORP,6361,60,63,636,US,1 FIRST AMERICAN WAY
"1754068_ALLOVIR, INC.","ALLOVIR, INC.",2836,20,28,283,US,1100 WINTER STREET
1090012_DEVON ENERGY CORP/DE,DEVON ENERGY CORP/DE,1311,10,13,131,US,333 W. SHERIDAN AVENUE
"1605607_PARAMOUNT GROUP, INC.","PARAMOUNT GROUP, INC.",6798,60,67,679,US,"1633 BROADWAY, SUITE 1801"
"1610950_SYNEOS HEALTH, INC.","SYNEOS HEALTH, INC.",8731,70,87,873,US,1030 SYNC STREET
"1597553_SAGE THERAPEUTICS, INC.","SAGE THERAPEUTICS, INC.",2834,20,28,283,US,215 FIRST STREET
1411207_ALLISON TRANSMISSION HOLDINGS INC,ALLISON TRANSMISSION HOLDINGS INC,3714,20,37,371,US,ONE ALLISON WAY
1034670_AUTOLIV INC,AUTOLIV INC,3714,20,37,371,US,3350 AIRPORT RD
1599617_NOW INC.,NOW INC.,3533,20,35,353,US,7402 NORTH ELDRIDGE PARKWAY
"1866692_AMPLITUDE, INC.","AMPLITUDE, INC.",7372,70,73,737,US,"201 THIRD STREET, SUITE 200"
"1590955_PAYCOM SOFTWARE, INC.","PAYCOM SOFTWARE, INC.",7372,70,73,737,US,7501 W. MEMORIAL ROAD
1226616_MEDICINOVA INC,MEDICINOVA INC,2834,20,28,283,US,4275 EXECUTIVE SQUARE
